Timestamp,Email Address,1,2,3
11/13/2025 10:00:00,Aisha,First choice,First choice,First choice
11/13/2025 10:00:05,Chen,First choice,First choice,First choice
11/13/2025 10:00:10,Dmitri,First choice,First choice,First choice
11/13/2025 10:00:15,Emeka,First choice,First choice,First choice
11/13/2025 10:00:20,Fatima,First choice,First choice,First choice
11/13/2025 10:00:25,Giovanni,First choice,First choice,First choice
11/13/2025 10:00:30,Haruki,First choice,First choice,First choice
11/13/2025 10:00:35,Indira,First choice,First choice,First choice
11/13/2025 10:00:40,Javier,First choice,First choice,First choice
11/13/2025 10:00:45,Keiko,First choice,First choice,First choice
