Timestamp,Email Address,1,2,3
11/13/2025 10:00:00,Aisha,First choice,Second choice,Third choice
11/13/2025 10:00:05,Chen,Second choice,Third choice,First choice
11/13/2025 10:00:10,Dmitri,Third choice,First choice,Second choice
11/13/2025 10:00:15,Emeka,First choice,Third choice,Second choice
11/13/2025 10:00:20,Fatima,Second choice,First choice,Third choice
11/13/2025 10:00:25,Giovanni,Third choice,Second choice,First choice
11/13/2025 10:00:30,Haruki,Second choice,First choice,Third choice
11/13/2025 10:00:35,Indira,Third choice,Second choice,First choice
11/13/2025 10:00:40,Javier,First choice,Third choice,Second choice
11/13/2025 10:00:45,Keiko,Second choice,Third choice,First choice
