Timestamp,Email Address,1,2,3
11/13/2025 10:00:00,Aisha,First choice,"Really, absolutely, totally cannot make","Really, absolutely, totally cannot make"
11/13/2025 10:00:05,Chen,First choice,"Really, absolutely, totally cannot make","Really, absolutely, totally cannot make"
11/13/2025 10:00:10,Dmitri,"Really, absolutely, totally cannot make",First choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:15,Emeka,"Really, absolutely, totally cannot make",First choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:20,Fatima,"Really, absolutely, totally cannot make","Really, absolutely, totally cannot make",First choice
11/13/2025 10:00:25,Giovanni,"Really, absolutely, totally cannot make","Really, absolutely, totally cannot make",First choice
11/13/2025 10:00:30,Haruki,Second choice,First choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:35,Indira,Third choice,"Really, absolutely, totally cannot make",First choice
11/13/2025 10:00:40,Javier,"Really, absolutely, totally cannot make",Second choice,First choice
11/13/2025 10:00:45,Keiko,First choice,"Really, absolutely, totally cannot make",Second choice
