Timestamp,Email Address,1,2,3
11/13/2025 10:00:00,Aisha,First choice,First choice,First choice
11/13/2025 10:00:05,Chen,Third choice,First choice,Second choice
11/13/2025 10:00:10,Dmitri,Second choice,Third choice,First choice
11/13/2025 10:00:15,Emeka,"Really, absolutely, totally cannot make",First choice,Second choice
11/13/2025 10:00:20,Fatima,Second choice,First choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:25,Giovanni,Third choice,Third choice,Third choice
11/13/2025 10:00:30,Haruki,First choice,Second choice,Third choice
11/13/2025 10:00:35,Indira,"Really, absolutely, totally cannot make",Second choice,First choice
11/13/2025 10:00:40,Javier,Third choice,First choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:45,Keiko,First choice,Third choice,Second choice
