Timestamp,Email Address,1,2,3
11/13/2025 10:00:00,Aisha,First choice,Second choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:05,Chen,First choice,Third choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:10,Dmitri,First choice,Second choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:15,Emeka,First choice,Third choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:20,Fatima,First choice,Second choice,"Really, absolutely, totally cannot make"
11/13/2025 10:00:25,Giovanni,"Really, absolutely, totally cannot make",Second choice,First choice
11/13/2025 10:00:30,Haruki,"Really, absolutely, totally cannot make",Third choice,First choice
11/13/2025 10:00:35,Indira,"Really, absolutely, totally cannot make",Second choice,First choice
11/13/2025 10:00:40,Javier,"Really, absolutely, totally cannot make",Third choice,First choice
11/13/2025 10:00:45,Keiko,"Really, absolutely, totally cannot make",Second choice,First choice
